Capital Requirement,Expected Loss
464609.70611488237,13802.59121431691
431012.67430999904,13288.890037484596
461182.43027740146,12993.360228885233
424367.531199108,12468.221680858356
433905.7320201589,12963.270167725863
433601.6482327169,12685.420006308394
426337.82257693005,12676.060389539296
467031.12664287037,13808.449232522438
421421.9686553163,11781.320223055412
430071.9693622788,12352.005146726882
422321.9224944532,12434.13573457965
445960.09421190066,14376.872857515307
441637.57773883257,13139.865721668946
428847.2825851227,13200.99571779219
468361.002722296,14124.243983101938
437483.24069635366,12211.43205705347
454809.73498919007,14020.828496802103
417887.5770452302,12516.245960308475
466941.39485303516,13451.722756647256
440054.80204980366,13327.097811182943
448836.61881798436,13076.394749803123
439139.053757468,13119.785773007516
428266.0982726899,12293.672301161294
455009.41498031653,12522.388027853704
465705.9855280083,13779.664437824664
436826.0860420737,12287.537505168355
412501.6136376461,11878.032454772929
449906.9950412566,12720.453527985232
444971.33281656646,13312.271087457024
472265.05373364454,14449.66640850876
468330.0724700777,13536.019633383066
511530.11037822615,15806.576179910631
442334.57119023695,12328.537201225226
447138.76898361277,13351.620546904414
449352.6561022053,14135.737665886521
416055.8416442054,12882.972647475453
448509.7135553268,12489.246609250655
422634.69236562285,13026.129487647435
466533.38536421664,13365.283838814874
423864.9973327565,12406.42050487534
427745.4215835475,12911.349853358175
447311.9490179208,13956.211353180788
452132.4381760097,13555.049604437361
451509.18682234205,13546.52439962548
437816.86282527715,13148.293651600457
456838.51996165595,14285.278663269377
434993.1697390288,12654.3846219173
441500.4153019873,13015.733123667462
446940.6013117834,13912.495837897954
476320.8350548359,16378.490593495811
419843.5530368094,12296.849836006302
451599.85069740436,13313.764857432197
459241.43757185165,13370.81613781158
458347.51653430617,13497.269898174402
457191.07028335874,14248.242254215429
457428.71689535596,14543.47871399319
455139.7025309081,13905.204400751589
469573.1303183586,14335.163345561326
471092.8669251648,14276.610635342415
455818.6541867769,13527.343589784703
437887.28760939365,13116.481396912317
415202.33335824765,12432.54136870673
443671.0757276368,13366.70337294319
427847.04538253124,12503.547473667153
441807.0474295991,13179.114077936809
448749.0770533406,12742.276495639819
439811.8871406219,13119.009882954015
426715.1387225849,13413.435913671938
456504.00666482095,13436.792211381678
423926.4936182502,12864.527484139478
445724.14384782966,13075.008587536122
456676.59195021,14021.141869826588
423649.2177390462,12553.217085127533
461896.50129728706,13938.943403926205
456300.4731785991,12597.306058039252
441571.26315643196,12666.9300109505
449592.8239385755,13175.755646317868
447843.4095068992,14299.417496126265
444091.67058435956,14182.453312514128
449984.22248600324,14587.433457177547
447559.41794046626,14343.49919247098
453695.0722596243,13539.72849532335
431945.8632725476,12304.4634457524
462336.1887451589,14043.221921738383
434957.30723845435,13331.940293563352
444402.7138697321,13852.901891220456
437324.6102061328,12671.640336325476
447192.3063773898,13544.801220312977
431719.6320530401,12931.021035760334
426469.11752358626,12937.300034052343
455157.6674332078,12595.9978309247
443566.3274385284,12681.609118878436
452050.2252823219,13261.875225866446
431009.1020858411,12859.502102652026
449204.7703424752,14261.007164592796
457770.70837638195,13501.766788528665
440899.5975810641,13715.287001667812
446230.83987609076,13959.881057596986
454230.33010717144,14560.715754585468
468455.0623103443,13362.833783397517
431770.05873664917,12109.815766469816
437658.64689316216,13318.066202666807
475322.1648151088,14047.738189393314
432873.3214521955,12918.412346916897
452314.24644394754,11937.625231152986
436590.9755225894,13112.104974392032
431865.7290393409,12804.690840963529
438439.8329522869,12431.072179625615
437505.9485495371,13749.837372994101
465077.0515192902,14288.19356147997
448001.0210264283,13078.883465776173
453552.8539398811,13983.03895324863
445403.72937012475,12529.68153697219
414613.59749448916,11887.939172414694
449671.5205114382,13601.103737570756
452645.35582750145,12433.413427211479
431027.51445027546,13518.437433423984
439827.1619322482,13233.595853258099
451308.5257142283,13951.659329468812
493246.3268155919,16005.430146547573
430566.08682100615,12712.992849677026
460414.0337432128,13916.007565314987
451268.97661961825,13320.818613942934
451607.6856261656,13507.915739912867
